,State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Radio_Transistor,Households_with_Scooter_Motorcycle_Moped,Households_with_Telephone_Mobile_Phone_Landline_only,Households_with_Telephone_Mobile_Phone_Mobile_only,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Telephone_Mobile_Phone_Both,Condition_of_occupied_census_houses_Dilapidated_Households,Households_with_separate_kitchen_Cooking_inside_house,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Ownership_Owned_Households,Ownership_Rented_Households,Type_of_bathing_facility_Enclosure_without_roof_Households,Type_of_fuel_used_for_cooking_Any_other_Households,Type_of_latrine_facility_Pit_latrine_Households,Type_of_latrine_facility_Other_latrine_Households,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Not_having_bathing_facility_within_the_premises_Total_Households,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,Main_source_of_drinking_water_Un_covered_well_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Location_of_drinking_water_source_Away_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,Married_couples_None_Households,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Power_Parity_Rs_45000_150000,Power_Parity_Rs_150000_240000,Power_Parity_Rs_240000_330000,Power_Parity_Rs_150000_330000,Power_Parity_Rs_330000_425000,Power_Parity_Rs_425000_545000,Power_Parity_Rs_330000_545000,Power_Parity_Above_Rs_545000,Total_Power_Parity,Literacy_Percentage
0,Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,1369597,1371642,1483347,856350,626997,488596,242844,245752,495794,247472,248322,1323667,748939,574728,1066460,257207,1417572,363737,484912,84661,390357,2399901,275970,15422,1377,25510,617,322,22120,194954,566108,5512,45202,597466,220248,817714,232470,344167,281752,225957,143143,100226,19277,1346992,1030640,2377632,1536378,704551,422522,77788,150289,8338,25190,96998,15483,374630,9483,306433,403530,13417,35823,510399,378259,191052,559211,77594,180245,1009,20150,6489,4078,9390,273511,446014,93294,267233,2294,3303,7390,14508,212025,229686,1521,270862,79354,27018,80780,107798,103066,417387,182282,132039,114585,12000,210059,503266,58377,6455,7297,722,120,82830,648,1604,1266,2870,84,122,206,134,213,347,109,4181,0.5411228280350601
1,Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,2064495,2016653,2310960,1338474,972486,583135,292379,290756,154127,78573,75554,2036166,1208544,827622,1679655,356511,2044982,413253,879537,105343,638033,3599372,443456,20463,932,341,1417,309,14858,223016,897970,8606,48299,902997,341431,1244428,462273,720357,582075,331793,162175,144915,23341,2426929,1369069,3795998,2189396,1104565,739612,47575,206433,9915,63528,144214,24039,534408,14470,559461,581087,22640,23899,713663,755971,353948,779195,172680,222718,824,96437,22059,19296,11188,205194,581051,5049,117001,552,469,16086,17308,528245,225275,201,819675,43685,36633,106460,143093,156107,644263,291388,196768,153243,20566,207645,718794,115052,15584,17947,1994,369,109372,969,2252,1605,3857,143,150,293,176,261,437,243,5799,0.5662524368143473
2,Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,2090204,2083860,2667878,1484794,1183084,785760,389582,396178,159165,79756,79409,1933357,1202223,731134,1669852,263505,2240707,434544,748093,57269,693451,3737588,397870,24129,867,253,1322,358,11677,324406,944555,13763,67087,907970,395900,1303870,522961,770836,673197,548336,265199,246409,36017,3062955,1170993,4233948,2148179,1159053,807430,59402,225856,16296,93489,186568,35378,561188,24934,611465,632803,36237,30849,777100,754648,382377,815953,196720,246488,640,32299,12221,10381,11823,267468,628364,8192,135531,349,548,38931,40322,539408,342011,494,835606,92651,55151,132169,187320,175853,678054,311451,190750,142837,13905,140697,757090,105579,10901,12183,1103,179,147264,1021,2270,1565,3835,261,125,386,157,218,375,307,5926,0.6391559880250998
3,Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,2569688,2584608,3288577,1716933,1571644,945269,468883,476386,213195,104422,108773,2093681,1545831,547850,1748117,345564,3060615,160407,1122046,57853,753375,4983330,77777,77825,738,413,4149,403,9661,479914,1297273,22411,93784,1199479,406362,1605841,669420,947606,797497,521562,271809,263023,47702,3518619,1524603,5043222,2724328,1478954,948122,2892,779052,25381,113126,232073,65415,614288,34494,821421,732492,52789,46973,869294,869464,800168,1088823,278383,132607,1622,50195,6007,2058,11341,537946,510602,121195,342767,4440,6523,11217,27864,558347,613789,5684,908806,40397,95856,239150,335006,275218,952492,468704,208570,112434,7478,235274,1085890,85895,6477,7007,450,80,228618,1274,2865,1949,4814,189,164,353,195,286,481,290,7211,0.6380264152466215
4,Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,2440521,2447292,2960441,1634726,1325715,957407,476333,481074,247089,125105,121984,2381624,1442370,939254,2106326,275298,2506189,302341,1227956,47436,803891,4217597,559770,89763,764,323,3282,332,15982,648568,1186028,19383,80434,1069877,513113,1582990,736270,845810,674957,453446,246580,221924,30279,3209266,1474349,4683615,2583462,1371811,928462,4078,454586,17424,106907,190079,62229,617321,28457,816849,733133,53583,44968,917356,904201,762845,981115,276073,180459,1292,58852,5982,2660,4774,383630,513287,67710,428749,1299,4238,35872,47242,465404,554667,5833,739450,73453,83026,212589,295615,229537,842985,413160,200288,139120,10111,267760,972992,117838,10388,11313,821,104,185688,1119,2657,1953,4610,196,188,384,222,328,550,317,6981,0.6056780404651324
5,Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2018575,1924748,2892155,1542688,1349467,247927,124313,123614,48937,25556,23381,1413297,1045585,367712,1096081,317216,2530026,28308,23029,46157,1315803,2046051,1713405,87522,11446,1268,19560,1929,62142,581509,869721,149034,274653,0,1066289,1066289,230962,596591,685215,811501,517425,558090,45937,3445721,556902,4002623,2249130,1068243,542669,83281,229561,124106,288188,439890,91702,583744,200317,746818,799174,123728,8198,868553,873099,868186,437146,422826,9546,1908,9725,9605,6238,4915,8413,7927,913,8759,621,84,6777,8678,47880,814362,1196,862054,6139,20495,90415,110910,135609,546260,236179,174472,181806,42536,19270,692697,73154,16242,20914,3555,1117,94747,416,2008,3204,5212,1708,494,2202,671,860,1531,1710,11071,0.7334309160066269
6,Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1880800,1895469,2206829,1257238,949591,709757,352481,357276,106745,53495,53250,1876768,1049463,827305,1590304,286464,1899501,360390,756859,168340,591179,3491139,244723,24979,2086,332,312,115,12583,344667,926768,8831,46584,877236,288044,1165280,340372,453505,482842,463403,293493,256633,35312,2325560,1280393,3605953,1940234,1031735,728494,75806,406211,14175,37212,192965,25539,648422,16190,589283,691495,17534,42493,642642,675283,452865,823820,141432,271709,921,100604,16953,15034,12846,305456,518458,133499,135427,1037,305,23433,25074,197387,633350,299,681510,65437,55169,146503,201672,166249,649211,306232,176730,120450,9406,150002,746836,91081,8368,9357,860,129,133465,961,2163,1420,3583,128,99,227,119,173,292,186,5251,0.5843940143035361
7,Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,1390988,1406382,1630234,901640,728594,462896,229905,232991,765565,378532,387033,1410062,802906,607156,1215871,194191,1387308,224972,804537,19799,360754,2595321,158887,33463,655,217,459,539,7829,219710,668519,8628,42171,669262,201363,870625,295639,346118,329630,238811,154774,160804,25456,1551232,875272,2426504,1530602,774583,477955,14230,267852,11887,35761,115078,19525,389453,15140,416734,427722,18744,33533,435972,403739,360531,616617,115379,105732,707,37554,2709,1518,7153,343847,379678,46922,210458,1327,4467,9819,16502,240615,354579,889,468045,61127,39441,120442,159883,144836,512966,254089,114041,69643,5094,152392,575647,55189,4220,4616,346,50,112134,732,1584,1012,2596,75,78,153,92,136,228,127,3836,0.5827738196949277
8,Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,2267375,2250023,3009718,1598959,1410759,871063,435412,435651,132464,66734,65730,2048880,1327299,721581,1744978,303902,2468518,150166,1006976,48444,843294,4023678,307043,145598,1393,863,6320,906,31597,632890,1163932,30438,101450,909292,567042,1476334,618101,692968,630603,531821,312753,328454,54728,3169428,1352499,4521927,2340943,1284630,833959,57866,525079,27969,112568,212111,76037,598166,43264,794346,743696,69493,41217,838939,897201,863417,863382,328243,128403,1359,32758,10038,4774,7302,330056,351479,87080,205072,1490,1097,17143,26322,387804,611878,6592,903992,43371,81004,218150,299154,235751,824868,417156,171961,95350,7885,227575,955030,81787,6370,6886,449,67,183554,1054,2557,2029,4586,270,180,450,218,313,531,364,6983,0.6662503503122815
9,Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,2039227,2014236,2127161,1246369,880792,737945,370215,367730,82831,42052,40779,2029425,1164122,865303,1757520,271905,2024038,310954,1037302,60791,620378,3328380,670737,33165,737,255,2235,434,17520,195001,816721,10081,56478,783853,306982,1090835,521327,672951,466940,271828,152453,115504,19282,2220285,1517933,3738218,2368684,1053618,609027,22134,271815,10622,79714,118153,30605,519103,15373,543044,572406,22698,24332,752035,702120,353289,710444,156505,187708,820,58115,8586,4613,8162,175062,437495,17204,138946,5694,6352,5342,20685,431425,227045,3297,696977,38696,29425,86663,116088,120568,547505,238908,188029,181675,31914,218712,652567,109416,18819,22549,3071,659,92650,1042,2163,1355,3518,108,114,222,134,199,333,185,5301,0.5247762222080231
